,name,price,market_cap,volume,coin_supply
828,UniLend,$0.2542,"$7,888,543","$1,273,333","31,052,564 UFT"
829,Suku,$0.04406,"$7,853,124","$457,234","178,403,407 SUKU"
830,Valobit,$0.006506,"$7,809,629","$19,392","1,200,806,778 VBIT"
831,Deeper Network,$0.004061,"$7,801,716","$209,568","1,923,209,391 DPR"
832,renBTC,"$29,892.58","$9,102,264","$2,556",304 RENBTC
833,MixMarvel,$0.001658,"$7,791,441","$515,523","4,699,943,108 MIX"
834,Sperax,$0.00468,"$7,764,779","$421,128","1,659,131,197 SPA"
835,Hegic,$0.01103,"$7,766,349","$47,519","703,727,349 HEGIC"
836,AS Roma Fan Token,$2.57,"$7,718,774","$1,312,990","3,011,591 ASR"
837,DAD,$0.0128,"$7,701,249","$478,716","602,083,240 DAD"
838,LeisureMeta,$0.01749,"$7,720,010","$688,448","434,702,835 LM"
839,Arsenal Fan Token,$1.60,"$7,550,275","$755,609","4,711,630 AFC"
840,Symbiosis,$0.1779,"$7,549,970","$3,372,744","42,438,697 SIS"
841,Arianee,$0.2817,"$7,564,883",$34,"26,856,005 ARIA20"
842,Tap,$0.006074,"$7,483,038","$129,908","1,231,911,016 XTP"
843,MEVerse,$0.004404,"$7,450,962","$330,887","1,691,645,035 MEV"
844,Quantstamp,$0.0104,"$7,421,393","$72,364","713,801,947 QSP"
845,Unicly CryptoPunks Collection,$0.02968,"$7,420,770",,"250,000,000 UPUNK"
846,Starlink,$0.0...07408,"$7,392,150","$444,929","9,979,172,029,858 STARL"
847,Handshake,$0.01227,"$7,397,422","$27,492","602,689,154 HNS"
848,Buying.com,$0.02269,"$7,528,986","$267,307","331,789,518 BUY"
849,Kunci Coin,$0.006022,"$7,423,132","$1,050,313","1,232,584,338 KUNCI"
850,MASQ,$0.2138,"$7,349,469","$59,084","34,379,475 MASQ"
851,DAFI Protocol,$0.007925,"$7,327,374","$406,781","924,532,314 DAFI"
852,DxChain Token,$0.0001442,"$7,208,265","$10,750","50,000,000,000 DX"
853,Shapeshift FOX Token,$0.01919,"$7,238,455","$113,999","377,154,162 FOX"
854,SuperWalk,$0.1524,"$7,188,589","$112,426","47,174,750 GRND"
855,WeWay,$0.005042,"$7,262,377","$382,330","1,440,281,416 WWY"
856,Matrix AI Network,$0.01681,"$7,212,819","$136,095","429,176,838 MAN"
857,ASTA,$0.003407,"$7,154,435","$228,257","2,099,999,990 ASTA"
858,Receive Access Ecosystem,$1.01,"$7,091,819","$121,881","7,032,650 RAE"
859,Rai Reflex Index,$2.75,"$7,075,812","$57,414","2,569,875 RAI"
860,Onomy Protocol,$0.1627,"$7,187,218","$577,041","44,168,271 NOM"
861,Observer,$0.001212,"$7,035,518","$33,772","5,807,080,871 OBSR"
862,DerivaDAO,$0.2711,"$7,073,446","$12,784","26,094,664 DDX"
863,Lossless,$0.1264,"$7,024,285","$89,365","55,572,672 LSS"
864,Swash,$0.01074,"$6,949,795","$225,027","647,345,036 SWASH"
865,ChainGPT,$0.0614,"$6,897,894","$3,014,663","112,342,448 CGPT"
866,Dvision Network,$0.01091,"$6,816,336","$216,973","624,596,290 DVI"
867,Orbcity,$0.04535,"$6,671,941","$287,626","147,116,912 ORB"
868,Cypherium,$0.01201,"$6,492,316","$7,480","540,678,192 CPH"
869,Akita Inu,$0.0...09904,"$6,741,530","$134,183","68,071,541,209,831 AKITA"
870,Verse,$0.0003556,"$6,700,856","$12,218","18,845,066,682 VERSE"
871,Origin Dollar Governance,$0.007661,"$6,586,680","$487,022","859,782,377 OGV"
872,BullBear AI,$0.0...03189,"$6,525,002","$5,253,338","2,045,833,899,998,990 AIBB"
873,GensoKishi Metaverse,$0.03859,"$6,474,336","$676,238","167,790,415 MV"
874,ELYSIA,$0.001993,"$6,440,238","$129,339","3,231,133,910 EL"
875,Emirex Token,$0.2349,"$6,403,899","$43,189","27,258,765 EMRX"
876,Bytecoin,$0.00003454,"$6,358,265","$14,715","184,066,828,814 BCN"
877,Gulf Coin,$0.05541,"$6,351,719","$753,480","114,627,357 GULF"
878,PIBBLE,$0.0003017,"$6,315,727","$34,711","20,931,860,893 PIB"
879,Step App,$0.003426,"$6,289,710","$7,859,881","1,835,645,514 FITFI"
880,HAPI Protocol,$8.77,"$6,216,563","$273,725","708,635 HAPI"
881,Carbon Protocol,$0.003886,"$6,161,785",,"1,585,510,090 SWTH"
882,Karura,$0.06291,"$6,006,640","$89,382","95,479,166 KAR"
883,Mancium,$0.6118,"$6,117,957","$64,054","10,000,000 MANC"
884,Bitcoin Atom,$0.3289,"$6,057,479",$0,"18,418,931 BCA"
885,Project WITH,$0.006173,"$6,032,433","$188,079","977,235,350 WIKEN"
886,BigONE Token,$0.0006381,"$6,029,175",$7,"9,449,081,034 ONE"
887,Zynecoin,$0.1442,"$5,892,082","$9,159","40,873,697 ZYN"
888,Aurox,$11.42,"$5,960,066","$183,318","521,929 URUS"
889,SAFE DEAL,$0.4537,"$5,942,429","$6,431","13,097,024 SFD"
890,Plastiks,$0.03814,"$5,814,939","$101,654","152,452,346 PLASTIK"
891,Cellframe,$0.2037,"$5,825,482","$94,511","28,599,168 CELL"
892,Zenon,$0.914,"$5,786,610",$728,"6,330,750 ZNN"
893,DSLA Protocol,$0.00101,"$5,547,484","$212,604","5,491,802,966 DSLA"
894,Trabzonspor Fan Token,$1.46,"$5,745,728","$714,025","3,923,337 TRA"
895,SHPING,$0.002504,"$5,725,828","$38,565","2,286,791,464 SHPING"
896,OpenOcean,$0.01129,"$5,695,770","$248,983","504,425,832 OOE"
897,Aventus,$0.9508,"$5,704,787","$136,720","6,000,000 AVT"
898,Sentinel,$0.0003869,"$5,688,579","$98,665","14,704,518,151 DVPN"
899,Pintu Token,$0.2435,"$5,687,589","$6,539","23,362,132 PTU"
900,KALM,$0.9997,"$5,672,161","$32,734","5,674,845 KALM"
901,WHALE,$0.565,"$5,644,822","$261,410","10,000,000 WHALE"
902,Linker Coin,$0.04981,"$5,616,138",,"112,776,150 LNC"
903,Myria,$0.001393,"$5,585,710","$311,317","4,012,753,471 MYRIA"
904,Rainicorn,$0.01114,"$5,565,574","$24,280","500,000,000 RAINI"
905,MongCoin,$0.0...09576,"$5,551,786","$1,712,703","581,196,039,603,956 $MONG"
906,Gari Network,$0.02019,"$5,522,619","$101,228","273,397,650 GARI"
907,OVR,$0.2696,"$5,507,591","$344,840","20,439,769 OVR"
908,Nuco.cloud,$0.2203,"$5,503,583","$266,166","25,000,000 NCDT"
909,Tarot,$0.1,"$5,463,185","$4,800","54,753,255 TAROT"
910,DeFine,$0.02125,"$5,477,902","$141,443","257,528,934 DFA"
911,Affyn,$0.02154,"$5,470,135","$714,324","254,033,788 FYN"
912,Trias Token (new),$3.41,"$5,456,911","$762,884","1,600,000 TRIAS"
913,Epic Cash,$0.3265,"$5,450,294","$3,472","16,696,296 EPIC"
914,SpookySwap,$0.5804,"$5,452,281","$109,106","9,390,930 BOO"
915,ScPrime,$0.1141,"$5,435,440",$122,"47,663,931 SCP"
916,Pepe 2.0,$0.0...01249,"$5,207,981","$3,291,812","420,690,000,000,000 PEPE2.0"
917,SENSO,$0.07455,"$5,238,475","$199,025","70,269,127 SENSO"
918,Shyft Network,$0.005846,"$5,215,613","$31,628","892,902,241 SHFT"
919,Hydra,$0.6056,"$5,211,938","$629,946","8,606,762 HYDRA"
920,Inflation Hedging Coin,$0.00004338,"$5,190,678","$41,314","119,642,987,723 IHC"
921,Civilization,$0.01728,"$5,178,717",$890,"300,000,000 CIV"
922,LBRY Credits,$0.007917,"$5,176,884","$33,417","654,237,215 LBC"
923,ChangeNOW Token,$0.06074,"$5,151,026",,"84,803,670 NOW"
924,Cryptex Finance,$1.08,"$5,112,777","$55,178","4,733,764 CTX"
925,Napoli Fan Token,$3.12,"$5,151,318","$1,948,014","1,650,686 NAP"
926,Netvrk,$0.1015,"$5,126,596","$112,117","50,557,986 NTVRK"
927,Blocery,$0.007048,"$5,094,227","$977,766","726,916,662 BLY"
928,EPIK Prime,$0.005782,"$5,096,756","$197,909","881,346,153 EPIK"
929,Azit,$0.08727,"$5,032,964","$2,725,658","58,287,079 AZIT"
930,BabySwap,$0.01082,"$5,065,314","$77,187","468,151,520 BABY"
931,MileVerse,$0.001873,"$5,066,545","$91,471","2,704,779,999 MVC"
932,SwftCoin,$0.001255,"$5,020,513","$2,504,148","4,004,999,999 SWFTC"
933,RealFevr,$0.000465,"$5,012,305","$119,786","10,779,065,385 FEVR"
934,Town Star,$0.01827,"$4,944,694","$132,168","273,243,569 TOWN"
935,Energi,$0.07495,"$5,019,439","$126,887","66,409,006 NRG"
936,Haven Protocol,$0.1676,"$4,970,246","$11,275","29,659,243 XHV"
937,GoCrypto Token,$0.02021,"$4,957,928","$69,946","245,278,438 GOC"
938,TE-FOOD,$0.008384,"$4,950,260","$30,351","590,833,686 TONE"
939,Cere Network,$0.00312,"$4,954,055","$144,441","1,585,541,574 CERE"
940,Vertcoin,$0.07221,"$4,864,675","$1,215,678","67,366,422 VTC"
941,BTSE,$1.11,"$4,812,827",$3,"4,354,711 BTSE"
942,MagicCraft,$0.001576,"$4,799,479","$327,770","3,045,802,788 MCRT"
943,Beam,$0.03259,"$4,705,099","$163,553","145,034,920 BEAM"
944,Hoge Finance,$0.00001169,"$4,700,705","$19,249","402,276,464,812 HOGE"
945,OpenDAO,$0.0...04677,"$4,677,392","$363,340","100,000,000,000,000 SOS"
946,MultiVAC,$0.001302,"$4,671,585","$331,250","3,587,369,426 MTV"
947,BioPassport Token,$0.001009,"$4,668,115","$84,004","4,625,812,250 BIOT"
948,Morpheus Labs,$0.006657,"$4,659,874","$117,552","699,999,799 MITX"
949,Blocto Token,$0.01966,"$4,626,220","$21,350","235,280,094 BLT"
950,Decubate,$0.01843,"$4,572,919","$77,839","248,156,646 DCB"
951,dHedge DAO,$0.1056,"$4,564,231","$14,831","43,222,366 DHT"
952,Bitrue Coin,$0.03422,"$4,496,643","$3,107,699","131,421,228 BTR"
953,TOKPIE,$0.1515,"$4,350,038","$38,093","28,714,064 TKP"
954,TomTomCoin,$0.00196,"$4,443,040","$525,640","2,267,000,000 TOMS"
955,Botto,$0.1619,"$4,429,272","$104,119","27,361,387 BOTTO"
956,Oraichain,$2.16,"$4,418,153","$537,687","2,044,424 ORAI"
957,Pangolin,$0.02419,"$4,358,751","$58,645","180,189,847 PNG"
958,STARSHIP,$0.2304,"$4,355,811","$9,282","18,908,258 STARSHIP"
959,BitForex Token,$0.001005,"$4,309,304","$730,116","4,289,073,705 BF"
960,SpaceChain,$0.01407,"$4,322,624","$5,792","307,182,730 SPC"
961,Exeedme,$0.04725,"$4,320,161","$31,932","91,430,976 XED"
962,Agoras: Currency of Tau,$0.2383,"$4,289,678","$7,230","18,000,000 AGRS"
963,Carbon Credit,$0.2517,"$4,275,827","$9,151","16,988,760 CCT"
964,DeepBrain Chain,$0.001322,"$4,231,356","$216,506","3,200,000,000 DBC"
965,Permission Coin,$0.0002605,"$4,212,137","$13,756","16,166,619,298 ASK"
966,Hamster,$0.0...01759,"$4,193,345","$4,115,718","2,384,230,000,000,000 HAM"
967,Xaya,$0.07793,"$4,162,322","$6,680","53,411,180 CHI"
968,XDEFI Wallet,$0.04734,"$4,151,994","$93,000","87,702,396 XDEFI"
969,Bifrost,$0.2042,"$4,161,490","$69,545","20,382,189 BNC"
970,Particl,$0.3098,"$4,119,784","$1,154","13,296,787 PART"
971,Electra Protocol,$0.0002309,"$4,102,671","$20,040","17,767,241,982 XEP"
972,Bitcoin Standard Hashrate Token,$0.3352,"$4,089,814","$59,761","12,201,401 BTCST"
973,ApeSwap,$0.02005,"$4,088,349","$21,171","203,941,928 BANANA"
974,GoChain,$0.003268,"$4,022,837","$70,042","1,230,968,150 GO"
975,CropBytes,$0.02155,"$4,015,269","$68,536","186,294,140 CBX"
976,Kasta,$0.01483,"$4,006,196","$288,337","270,186,863 KASTA"
977,Electric Vehicle Zone,$0.00893,"$3,953,464","$137,668","442,733,056 EVZ"
978,Big Data Protocol,$0.07758,"$3,945,569","$127,250","50,859,856 BDP"
979,Dovu,$0.004108,"$3,927,588","$13,837","956,157,114 DOV"
980,PointPay,$0.01294,"$3,913,683","$196,181","302,501,090 PXP"
981,OXBT,$0.0194,"$3,879,750","$169,539","200,000,000 OXBT"
982,Govi,$0.1784,"$3,890,341","$69,548","21,810,146 GOVI"
983,Shiryo,$0.0...03951,"$3,879,421","$2,451","981,846,777,310,948,352 SHIRYO"
984,Dark Frontiers,$0.02212,"$3,828,621","$255,681","173,109,555 DARK"
985,ColossusXT,$0.0002988,"$3,804,503",,"12,732,356,945 COLX"
986,Torum,$0.01677,"$3,805,388","$166,267","226,982,841 XTM"
987,Walken,$0.008413,"$3,785,057","$1,613,903","449,892,692 WLKN"
988,Metaverse.Network Pioneer,$0.1943,"$3,779,341","$178,831","19,453,215 NEER"
989,Crypton,$0.4402,"$3,772,106","$398,391","8,569,892 CRP"
990,GNY,$0.01944,"$3,739,370","$75,954","192,376,657 GNY"
991,BullPerks,$0.04515,"$3,702,882","$164,953","82,019,285 BLP"
992,Monavale,$355.11,"$3,698,841","$62,919","10,416 MONA"
993,BUX Token,$0.06322,"$3,660,815","$15,722","57,904,773 BUX"
994,ShareToken,$0.00154,"$3,649,647","$40,837","2,370,272,782 SHR"
995,Uno Re,$0.04662,"$3,647,348","$170,964","78,242,153 UNO"
996,Wrapped Alvey Chain,$0.04335,"$3,617,883","$2,009,743","83,465,963 WALV"
997,Everest,$0.03098,"$3,615,144","$23,445","116,700,000 ID"
998,Solanium,$0.03596,"$3,595,955","$751,042","100,000,000 SLIM"
999,ChainGuardians,$0.05814,"$3,574,267","$96,069","61,478,209 CGG"
