,name,price,market_cap,volume,coin_supply
126,,,,,
127,,,,,
128,,,,,
129,,,,,
130,,,,,
131,,,,,
132,,,,,
133,,,,,
134,,,,,
135,,,,,
136,,,,,
137,,,,,
138,,,,,
139,,,,,
140,,,,,
141,,,,,
142,,,,,
143,,,,,
144,,,,,
145,,,,,
146,,,,,
147,,,,,
148,,,,,
149,,,,,
150,,,,,
151,,,,,
152,,,,,
153,,,,,
154,,,,,
155,,,,,
156,,,,,
157,,,,,
158,,,,,
159,,,,,
160,,,,,
161,,,,,
162,,,,,
163,,,,,
164,,,,,
165,,,,,
166,,,,,
167,,,,,
168,,,,,
169,,,,,
170,,,,,
171,,,,,
172,,,,,
173,,,,,
174,,,,,
175,,,,,
176,,,,,
177,,,,,
178,,,,,
179,,,,,
180,,,,,
181,,,,,
182,,,,,
183,,,,,
184,,,,,
185,,,,,
186,,,,,
187,,,,,
188,,,,,
189,,,,,
190,,,,,
191,,,,,
192,,,,,
193,,,,,
194,,,,,
195,,,,,
196,,,,,
197,,,,,
198,,,,,
199,,,,,
200,Lido Staked ETH,,"$14,833,177,685","$43,964,585","7,998,044 stETH"
201,Wrapped TRON,$0.07673,"$7,801,256,200","$177,123","101,676,082,428 WTRX"
202,Wrapped HBAR,$0.06084,"$1,980,823,473","$482,060","32,559,526,344 WHBAR"
203,Bitcoin BEP2,,"$1,606,150,899","$14,981,263","53,820 BTCB"
204,Kaspa,$0.04616,"$925,741,076","$41,409,804","20,056,607,662 KAS"
205,HEX,,"$920,940,961","$675,056","173,411,074,413 HEX"
206,Wrapped EOS,$0.8365,"$919,412,901",$213,"1,099,129,196 WEOS"
207,Frax,,"$812,119,738","$11,322,164","812,641,409 FRAX"
208,FLEX,$7.30,"$719,899,587","$56,772","98,664,939 FLEX"
209,Bitget Token,$0.466,"$652,441,688","$11,569,305","1,400,000,000 BGB"
210,,,,,
211,,,,,
212,,,,,
213,,,,,
214,,,,,
215,,,,,
216,,,,,
217,,,,,
218,,,,,
219,,,,,
220,,,,,
221,,,,,
222,,,,,
223,,,,,
224,,,,,
225,,,,,
226,,,,,
227,,,,,
228,,,,,
229,,,,,
230,,,,,
231,,,,,
232,,,,,
233,,,,,
234,,,,,
235,,,,,
236,,,,,
237,,,,,
238,,,,,
239,,,,,
240,,,,,
241,,,,,
242,,,,,
243,,,,,
244,,,,,
245,,,,,
246,,,,,
247,,,,,
248,,,,,
249,,,,,
250,,,,,
251,,,,,
252,,,,,
253,,,,,
254,,,,,
255,,,,,
256,,,,,
257,,,,,
258,,,,,
259,,,,,
260,,,,,
261,,,,,
262,,,,,
263,,,,,
264,,,,,
265,,,,,
266,,,,,
267,,,,,
268,,,,,
269,,,,,
270,,,,,
271,,,,,
272,,,,,
273,,,,,
274,,,,,
275,,,,,
276,,,,,
277,,,,,
278,,,,,
279,,,,,
280,,,,,
281,,,,,
282,,,,,
283,,,,,
284,,,,,
285,,,,,
286,,,,,
287,,,,,
288,,,,,
289,,,,,
290,,,,,
291,,,,,
292,,,,,
293,,,,,
294,,,,,
295,,,,,
296,,,,,
297,,,,,
298,,,,,
299,,,,,
300,Wilder World,,"$72,475,467","$664,335","250,765,196 WILD"
301,Dynex,$1.23,"$71,882,503","$4,955,711","58,567,971 DNX"
302,Secret,$0.3374,"$71,217,400","$719,061","211,069,154 SCRT"
303,Stratis,,"$71,108,352","$578,460","151,981,587 STRAX"
304,VeThor Token,$0.001072,"$70,350,253","$837,547","65,645,647,734 VTHO"
305,Verge,$0.004195,"$69,309,760","$7,956,417","16,520,731,219 XVG"
306,Ergo,$1.18,"$69,002,722","$360,423","58,638,426 ERG"
307,Hippocrat,,"$69,016,027","$1,238","913,409,273 HPO"
308,Venus,,"$69,029,638","$2,545,779","15,453,588 XVS"
309,Marlin,$0.008454,"$68,366,923","$2,194,768","8,087,375,977 POND"
310,,,,,
311,,,,,
312,,,,,
313,,,,,
314,,,,,
315,,,,,
316,,,,,
317,,,,,
318,,,,,
319,,,,,
320,,,,,
321,,,,,
322,,,,,
323,,,,,
324,,,,,
325,,,,,
326,,,,,
327,,,,,
328,,,,,
329,,,,,
330,,,,,
331,,,,,
332,,,,,
333,,,,,
334,,,,,
335,,,,,
336,,,,,
337,,,,,
338,,,,,
339,,,,,
340,,,,,
341,,,,,
342,,,,,
343,,,,,
344,,,,,
345,,,,,
346,,,,,
347,,,,,
348,,,,,
349,,,,,
350,,,,,
351,,,,,
352,,,,,
353,,,,,
354,,,,,
355,,,,,
356,,,,,
357,,,,,
358,,,,,
359,,,,,
360,,,,,
361,,,,,
362,,,,,
363,,,,,
364,,,,,
365,,,,,
366,,,,,
367,,,,,
368,,,,,
369,,,,,
370,,,,,
371,,,,,
372,,,,,
373,,,,,
374,,,,,
375,,,,,
376,,,,,
377,,,,,
378,,,,,
379,,,,,
380,,,,,
381,,,,,
382,,,,,
383,,,,,
384,,,,,
385,,,,,
386,,,,,
387,,,,,
388,,,,,
389,,,,,
390,,,,,
391,,,,,
392,,,,,
393,,,,,
394,,,,,
395,,,,,
396,,,,,
397,,,,,
398,,,,,
399,,,,,
400,Badger DAO,$2.19,"$43,348,622","$4,470,052","19,767,940 BADGER"
401,Mines of Dalarnia,$0.1078,"$43,006,622","$9,701,439","398,953,623 DAR"
402,Celo Dollar,$0.9966,"$42,737,149","$175,187","42,883,845 CUSD"
403,DeFi Pulse Index,$76.30,"$42,651,584","$10,313","558,983 DPI"
404,Orbit Chain,$0.06558,"$42,097,428","$221,811","641,962,104 ORC"
405,AXEL,$0.1498,"$42,419,181","$13,419","283,102,718 AXEL"
406,Alien Worlds,$0.01162,"$42,309,064","$7,354,741","3,640,875,406 TLM"
407,Enzyme,$17.82,"$42,159,151","$687,063","2,366,188 MLN"
408,AVINOC,$0.1062,"$41,322,582","$107,880","389,244,472 AVINOC"
409,Pirate Chain,$0.2088,"$40,970,136","$34,684","196,213,798 ARRR"
410,,,,,
411,,,,,
412,,,,,
413,,,,,
414,,,,,
415,,,,,
416,,,,,
417,,,,,
418,,,,,
419,,,,,
420,,,,,
421,,,,,
422,,,,,
423,,,,,
424,,,,,
425,,,,,
426,,,,,
427,,,,,
428,,,,,
429,,,,,
430,,,,,
431,,,,,
432,,,,,
433,,,,,
434,,,,,
435,,,,,
436,,,,,
437,,,,,
438,,,,,
439,,,,,
440,,,,,
441,,,,,
442,,,,,
443,,,,,
444,,,,,
445,,,,,
446,,,,,
447,,,,,
448,,,,,
449,,,,,
450,,,,,
451,,,,,
452,,,,,
453,,,,,
454,,,,,
455,,,,,
456,,,,,
457,,,,,
458,,,,,
459,,,,,
460,,,,,
461,,,,,
462,,,,,
463,,,,,
464,,,,,
465,,,,,
466,,,,,
467,,,,,
468,,,,,
469,,,,,
470,,,,,
471,,,,,
472,,,,,
473,,,,,
474,,,,,
475,,,,,
476,,,,,
477,,,,,
478,,,,,
479,,,,,
480,,,,,
481,,,,,
482,,,,,
483,,,,,
484,,,,,
485,,,,,
486,,,,,
487,,,,,
488,,,,,
489,,,,,
490,,,,,
491,,,,,
492,,,,,
493,,,,,
494,,,,,
495,,,,,
496,,,,,
497,,,,,
498,,,,,
499,,,,,
500,Elastos,$1.35,"$27,509,181","$365,636","20,346,868 ELA"
501,Chainbing,$0.8801,"$29,041,903","$82,327","33,000,000 CBG"
502,Bloktopia,$0.001552,"$27,210,571","$363,839","17,536,640,676 BLOK"
503,LTO Network,$0.0648,"$27,076,216","$1,378,505","417,813,746 LTO"
504,Gas,$2.65,"$26,850,565","$2,155,749","10,128,375 GAS"
505,Litentry,$0.68,"$26,941,152","$3,560,364","39,619,383 LIT"
506,Guild of Guardians,$0.0675,"$26,673,033","$1,149,305","395,130,335 GOG"
507,Telos,$0.09863,"$26,643,233","$3,562,573","270,123,444 TLOS"
508,Alpha Quark Token,$0.9994,"$26,625,010","$1,484,848","26,640,784 AQT"
509,Quiztok,$0.004193,"$26,547,385","$318,007","6,331,548,893 QTCON"
510,,,,,
511,,,,,
512,,,,,
513,,,,,
514,,,,,
515,,,,,
516,,,,,
517,,,,,
518,,,,,
519,,,,,
520,,,,,
521,,,,,
522,,,,,
523,,,,,
524,,,,,
525,,,,,
526,,,,,
527,,,,,
528,,,,,
529,,,,,
530,,,,,
531,,,,,
532,,,,,
533,,,,,
534,,,,,
535,,,,,
536,,,,,
537,,,,,
538,,,,,
539,,,,,
540,,,,,
541,,,,,
542,,,,,
543,,,,,
544,,,,,
545,,,,,
546,,,,,
547,,,,,
548,,,,,
549,,,,,
550,,,,,
551,,,,,
552,,,,,
553,,,,,
554,,,,,
555,,,,,
556,,,,,
557,,,,,
558,,,,,
559,,,,,
560,,,,,
561,,,,,
562,,,,,
563,,,,,
564,,,,,
565,,,,,
566,,,,,
567,,,,,
568,,,,,
569,,,,,
570,,,,,
571,,,,,
572,,,,,
573,,,,,
574,,,,,
575,,,,,
576,,,,,
577,,,,,
578,,,,,
579,,,,,
580,,,,,
581,,,,,
582,,,,,
583,,,,,
584,,,,,
585,,,,,
586,,,,,
587,,,,,
588,,,,,
589,,,,,
590,,,,,
591,,,,,
592,,,,,
593,,,,,
594,,,,,
595,,,,,
596,,,,,
597,,,,,
598,,,,,
599,,,,,
600,Milady Meme Coin,,"$18,926,612","$2,206,261","734,366,023,232,083 LADYS"
601,BitMart Token,$0.1098,"$18,916,538","$2,087,062","172,248,359 BMX"
602,TerraKRW,$0.000492,"$18,866,710",,"38,349,366,273 KRT"
603,Velo,,"$18,777,573","$6,064,781","7,390,475,595 VELO"
604,Star Atlas DAO,$0.1204,"$18,419,375","$209,688","153,005,849 POLIS"
605,SpaceN,$0.4654,"$18,622,161","$12,414","40,010,000 SN"
606,Maro,$0.02211,"$18,413,266","$556,798","832,950,233 MARO"
607,Elitium,$0.6567,"$18,333,609","$30,301","27,916,379 EUM"
608,KILT Protocol,,"$18,181,501","$55,121","49,420,140 KILT"
609,AirSwap,,"$18,217,790","$295,648","174,479,533 AST"
610,,,,,
611,,,,,
612,,,,,
613,,,,,
614,,,,,
615,,,,,
616,,,,,
617,,,,,
618,,,,,
619,,,,,
620,,,,,
621,,,,,
622,,,,,
623,,,,,
624,,,,,
625,,,,,
626,,,,,
627,,,,,
628,,,,,
629,,,,,
630,,,,,
631,,,,,
632,,,,,
633,,,,,
634,,,,,
635,,,,,
636,,,,,
637,,,,,
638,,,,,
639,,,,,
640,,,,,
641,,,,,
642,,,,,
643,,,,,
644,,,,,
645,,,,,
646,,,,,
647,,,,,
648,,,,,
649,,,,,
650,,,,,
651,,,,,
652,,,,,
653,,,,,
654,,,,,
655,,,,,
656,,,,,
657,,,,,
658,,,,,
659,,,,,
660,,,,,
661,,,,,
662,,,,,
663,,,,,
664,,,,,
665,,,,,
666,,,,,
667,,,,,
668,,,,,
669,,,,,
670,,,,,
671,,,,,
672,,,,,
673,,,,,
674,,,,,
675,,,,,
676,,,,,
677,,,,,
678,,,,,
679,,,,,
680,,,,,
681,,,,,
682,,,,,
683,,,,,
684,,,,,
685,,,,,
686,,,,,
687,,,,,
688,,,,,
689,,,,,
690,,,,,
691,,,,,
692,,,,,
693,,,,,
694,,,,,
695,,,,,
696,,,,,
697,,,,,
698,,,,,
699,,,,,
700,QuadrantProtocol,$0.01282,"$12,814,254","$1,010","1,000,000,000 EQUAD"
701,Ooki Protocol,$0.00277,"$12,626,547","$1,200,670","4,558,586,607 OOKI"
702,Angola,$0.02636,"$12,534,414","$17,237","475,450,000 AGLA"
703,Tamadoge,$0.009023,"$12,571,218","$866,366","1,393,353,219 TAMA"
704,Image Generation AI,$0.01649,"$12,807,278","$204,618","776,833,333 IMGNAI"
705,TrustSwap,$0.1249,"$12,484,970","$1,005,253","99,995,164 SWAP"
706,SONM (BEP-20),$0.2799,"$12,425,364","$805,202","44,400,000 SNM"
707,Victoria VR,$0.008491,"$12,307,489","$662,178","1,449,922,804 VR"
708,Poolz Finance,$2.64,"$12,276,062","$889,763","4,651,652 POOLX"
709,TABOO TOKEN,$0.001241,"$12,134,310","$334,881","9,782,678,080 TABOO"
710,SquidGrow,$0.0...01028,"$12,076,486","$1,010,686","1,174,940,845,113,550 SQUIDGROW"
711,Phantasma,$0.09982,"$12,075,677","$156,456","120,977,097 SOUL"
712,,,,,
713,,,,,
714,,,,,
715,,,,,
716,,,,,
717,,,,,
718,,,,,
719,,,,,
720,,,,,
721,,,,,
722,,,,,
723,,,,,
724,,,,,
725,,,,,
726,,,,,
727,,,,,
728,,,,,
729,,,,,
730,,,,,
731,,,,,
732,,,,,
733,,,,,
734,,,,,
735,,,,,
736,,,,,
737,,,,,
738,,,,,
739,,,,,
740,,,,,
741,,,,,
742,,,,,
743,,,,,
744,,,,,
745,,,,,
746,,,,,
747,,,,,
748,,,,,
749,,,,,
750,,,,,
751,,,,,
752,,,,,
753,,,,,
754,,,,,
755,,,,,
756,,,,,
757,,,,,
758,Aurory,$0.5731,"$10,136,030","$495,095","17,687,361 AURY"
